split,model,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
validation,Dummy (prior),0.5,0.5057870370370371,0.0,0.0,0.0,0.5,0.49421296296296297,437,0,427,0
validation,Baseline Logistic,0.35,0.6701388888888888,0.6179401993355482,0.8711943793911007,0.7230320699708455,0.7594949597800631,0.7307511016782477,207,230,55,372
validation,LightGBM (hyn),0.45,0.6956018518518519,0.643859649122807,0.8594847775175644,0.7362086258776329,0.7748192648406477,0.7469255578326031,234,203,60,367
validation,XGBoost (jhd),0.38,0.7002314814814815,0.648936170212766,0.8571428571428571,0.7386478304742684,0.7668529842067751,0.7349589291027617,239,198,61,366
validation,RandomForest (kmk),0.35,0.6828703703703703,0.625615763546798,0.892271662763466,0.7355212355212355,0.7672066838514676,0.7394134676175443,209,228,46,381
validation,Logistic tuned (ksj),0.37,0.6782407407407407,0.6291161178509532,0.8501170960187353,0.7231075697211156,0.7571476803198303,0.7302951796262052,223,214,64,363
validation,RandomForest tuned (lsy),0.33,0.6840277777777778,0.6270627062706271,0.8899297423887588,0.7357212003872217,0.7568207761027658,0.7267312293732296,211,226,47,380
test,Baseline Logistic,0.5,0.6828703703703703,0.6750572082379863,0.6908665105386417,0.6828703703703703,0.754425264872802,0.7261163442312725,295,142,132,295
test,Final XGBoost,0.38,0.6793981481481481,0.6284246575342466,0.8594847775175644,0.7260138476755688,0.7524959940835695,0.7039515818006205,220,217,60,367
